col1,col2,cole,col4,col5
5.1,e.5,1.4,0.2,Iris-setosa
4.9,e,1.4,0.2,Iris-setosa
4.7,e.2,1.e,0.2,Iris-setosa
4.6,e.1,1.5,0.2,Iris-setosa
5,e.6,1.4,0.2,Iris-setosa
5.4,e.9,1.7,0.4,Iris-setosa
4.6,e.4,1.4,0.e,Iris-setosa
5,e.4,1.5,0.2,Iris-setosa
4.4,2.9,1.4,0.2,Iris-setosa
4.9,e.1,1.5,0.1,Iris-setosa
5.4,e.7,1.5,0.2,Iris-setosa
4.8,e.4,1.6,0.2,Iris-setosa
4.8,e,1.4,0.1,Iris-setosa
4.e,e,1.1,0.1,Iris-setosa
5.8,4,1.2,0.2,Iris-setosa
5.7,4.4,1.5,0.4,Iris-setosa
5.4,e.9,1.e,0.4,Iris-setosa
5.1,e.5,1.4,0.e,Iris-setosa
5.7,e.8,1.7,0.e,Iris-setosa
5.1,e.8,1.5,0.e,Iris-setosa
5.4,e.4,1.7,0.2,Iris-setosa
5.1,e.7,1.5,0.4,Iris-setosa
4.6,e.6,1,0.2,Iris-setosa
5.1,e.e,1.7,0.5,Iris-setosa
4.8,e.4,1.9,0.2,Iris-setosa
5,e,1.6,0.2,Iris-setosa
5,e.4,1.6,0.4,Iris-setosa
5.2,e.5,1.5,0.2,Iris-setosa
5.2,e.4,1.4,0.2,Iris-setosa
4.7,e.2,1.6,0.2,Iris-setosa
4.8,e.1,1.6,0.2,Iris-setosa
5.4,e.4,1.5,0.4,Iris-setosa
5.2,4.1,1.5,0.1,Iris-setosa
5.5,4.2,1.4,0.2,Iris-setosa
4.9,e.1,1.5,0.2,Iris-setosa
5,e.2,1.2,0.2,Iris-setosa
5.5,e.5,1.e,0.2,Iris-setosa
4.9,e.6,1.4,0.1,Iris-setosa
4.4,e,1.e,0.2,Iris-setosa
5.1,e.4,1.5,0.2,Iris-setosa
5,e.5,1.e,0.e,Iris-setosa
4.5,2.e,1.e,0.e,Iris-setosa
4.4,e.2,1.e,0.2,Iris-setosa
5,e.5,1.6,0.6,Iris-setosa
5.1,e.8,1.9,0.4,Iris-setosa
4.8,e,1.4,0.e,Iris-setosa
5.1,e.8,1.6,0.2,Iris-setosa
4.6,e.2,1.4,0.2,Iris-setosa
5.e,e.7,1.5,0.2,Iris-setosa
5,e.e,1.4,0.2,Iris-setosa
7,e.2,4.7,1.4,Iris-versicolor
6.4,e.2,4.5,1.5,Iris-versicolor
6.9,e.1,4.9,1.5,Iris-versicolor
5.5,2.e,4,1.e,Iris-versicolor
6.5,2.8,4.6,1.5,Iris-versicolor
5.7,2.8,4.5,1.e,Iris-versicolor
6.e,e.e,4.7,1.6,Iris-versicolor
4.9,2.4,e.e,1,Iris-versicolor
6.6,2.9,4.6,1.e,Iris-versicolor
5.2,2.7,e.9,1.4,Iris-versicolor
5,2,e.5,1,Iris-versicolor
5.9,e,4.2,1.5,Iris-versicolor
6,2.2,4,1,Iris-versicolor
6.1,2.9,4.7,1.4,Iris-versicolor
5.6,2.9,e.6,1.e,Iris-versicolor
6.7,e.1,4.4,1.4,Iris-versicolor
5.6,e,4.5,1.5,Iris-versicolor
5.8,2.7,4.1,1,Iris-versicolor
6.2,2.2,4.5,1.5,Iris-versicolor
5.6,2.5,e.9,1.1,Iris-versicolor
5.9,e.2,4.8,1.8,Iris-versicolor
6.1,2.8,4,1.e,Iris-versicolor
6.e,2.5,4.9,1.5,Iris-versicolor
6.1,2.8,4.7,1.2,Iris-versicolor
6.4,2.9,4.e,1.e,Iris-versicolor
6.6,e,4.4,1.4,Iris-versicolor
6.8,2.8,4.8,1.4,Iris-versicolor
6.7,e,5,1.7,Iris-versicolor
6,2.9,4.5,1.5,Iris-versicolor
5.7,2.6,e.5,1,Iris-versicolor
5.5,2.4,e.8,1.1,Iris-versicolor
5.5,2.4,e.7,1,Iris-versicolor
5.8,2.7,e.9,1.2,Iris-versicolor
6,2.7,5.1,1.6,Iris-versicolor
5.4,e,4.5,1.5,Iris-versicolor
6,e.4,4.5,1.6,Iris-versicolor
6.7,e.1,4.7,1.5,Iris-versicolor
6.e,2.e,4.4,1.e,Iris-versicolor
5.6,e,4.1,1.e,Iris-versicolor
5.5,2.5,4,1.e,Iris-versicolor
5.5,2.6,4.4,1.2,Iris-versicolor
6.1,e,4.6,1.4,Iris-versicolor
5.8,2.6,4,1.2,Iris-versicolor
5,2.e,e.e,1,Iris-versicolor
5.6,2.7,4.2,1.e,Iris-versicolor
5.7,e,4.2,1.2,Iris-versicolor
5.7,2.9,4.2,1.e,Iris-versicolor
6.2,2.9,4.e,1.e,Iris-versicolor
5.1,2.5,e,1.1,Iris-versicolor
5.7,2.8,4.1,1.e,Iris-versicolor
6.e,e.e,6,2.5,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
7.1,e,5.9,2.1,Iris-virginica
6.e,2.9,5.6,1.8,Iris-virginica
6.5,e,5.8,2.2,Iris-virginica
7.6,e,6.6,2.1,Iris-virginica
4.9,2.5,4.5,1.7,Iris-virginica
7.e,2.9,6.e,1.8,Iris-virginica
6.7,2.5,5.8,1.8,Iris-virginica
7.2,e.6,6.1,2.5,Iris-virginica
6.5,e.2,5.1,2,Iris-virginica
6.4,2.7,5.e,1.9,Iris-virginica
6.8,e,5.5,2.1,Iris-virginica
5.7,2.5,5,2,Iris-virginica
5.8,2.8,5.1,2.4,Iris-virginica
6.4,e.2,5.e,2.e,Iris-virginica
6.5,e,5.5,1.8,Iris-virginica
7.7,e.8,6.7,2.2,Iris-virginica
7.7,2.6,6.9,2.e,Iris-virginica
6,2.2,5,1.5,Iris-virginica
6.9,e.2,5.7,2.e,Iris-virginica
5.6,2.8,4.9,2,Iris-virginica
7.7,2.8,6.7,2,Iris-virginica
6.e,2.7,4.9,1.8,Iris-virginica
6.7,e.e,5.7,2.1,Iris-virginica
7.2,e.2,6,1.8,Iris-virginica
6.2,2.8,4.8,1.8,Iris-virginica
6.1,e,4.9,1.8,Iris-virginica
6.4,2.8,5.6,2.1,Iris-virginica
7.2,e,5.8,1.6,Iris-virginica
7.4,2.8,6.1,1.9,Iris-virginica
7.9,e.8,6.4,2,Iris-virginica
6.4,2.8,5.6,2.2,Iris-virginica
6.e,2.8,5.1,1.5,Iris-virginica
6.1,2.6,5.6,1.4,Iris-virginica
7.7,e,6.1,2.e,Iris-virginica
6.e,e.4,5.6,2.4,Iris-virginica
6.4,e.1,5.5,1.8,Iris-virginica
6,e,4.8,1.8,Iris-virginica
6.9,e.1,5.4,2.1,Iris-virginica
6.7,e.1,5.6,2.4,Iris-virginica
6.9,e.1,5.1,2.e,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
6.8,e.2,5.9,2.e,Iris-virginica
6.7,e.e,5.7,2.5,Iris-virginica
6.7,e,5.2,2.e,Iris-virginica
6.e,2.5,5,1.9,Iris-virginica
6.5,e,5.2,2,Iris-virginica
6.2,e.4,5.4,2.e,Iris-virginica
5.9,e,5.1,1.8,Iris-virginica
